Generator output,Load,Number of batteries,Peak power,Battery capacity,Battery rate,
6,1,2,0,9.6,8.6,
6,1,2,1.8,9.6,8.6,
6,2.5,2,0,9.6,8.6,
6,2.5,2,1.8,9.6,8.6,
6,5,2,0,9.6,8.6,
6,5,2,1.8,9.6,8.6,
20,5,3,0,14.4,12.9,
20,5,3,4.45,14.4,12.9,
20,5,4,0,19.2,14.4,
20,5,4,4.45,19.2,14.4,
20,9,3,0,14.4,12.9,
20,9,3,4.45,14.4,12.9,
20,9,4,0,19.2,14.4,
20,9,4,4.45,19.2,14.4,
20,18,3,0,14.4,12.9,
20,18,3,4.45,14.4,12.9,
20,18,4,0,19.2,14.4,
20,18,4,4.45,19.2,14.4,
35,5,3,0,14.4,12.9,
35,5,3,4.45,14.4,12.9,
35,5,4,0,19.2,14.4,
35,5,4,4.45,19.2,14.4,
35,16,3,0,14.4,12.9,
35,16,3,4.45,14.4,12.9,
35,16,4,0,19.2,14.4,
35,16,4,4.45,19.2,14.4,
35,32,3,0,14.4,12.9,
35,32,3,4.45,14.4,12.9,
35,32,4,0,19.2,14.4,
35,32,4,4.45,19.2,14.4,
